 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
417,21952,175616,100,33549.183,439.243,30657,34910,33697.230,33715
418,21952,175616,100,657.949,446.752,0,1615,63.086,921
419,21952,175616,100,828.964,360.593,0,1879,924.820,949
420,21952,175616,100,33972.402,640.703,32625,36659,34011.688,34010
421,21952,175616,100,33508.475,468.916,30669,34543,33831.758,33745
422,21952,175616,100,109.677,107.927,5.193,1455.716,44.856,NaN
423,21952,175616,100,33546.895,442.514,30669,34754,33684.879,33717
424,21952,175616,100,33597.568,419.603,30674,34647,33839.984,33760
425,21952,175616,100,33739.807,344.651,30664,35172,33833.688,33799
426,21952,175616,100,831.058,360.511,0,1937,915.535,950
427,21952,175616,100,661.170,446.110,0,1638,63.984,923
428,21952,175616,100,32563.951,308.746,31796,33234,32801.477,32730
429,21952,175616,100,662.936,446.807,0,1650,64.453,924
430,21952,175616,100,824.363,362.138,0,2894,926.984,949
431,21952,175616,100,826.495,362.156,0,3230,921.055,950
432,21952,175616,100,542.808,426.344,12,2210,123.617,315
433,21952,175616,100,724.698,360.568,0,1813,1033.977,919
434,21952,175616,100,167.109,157.777,4.652,1382.069,10.033,NaN
435,21952,175616,100,229.908,245.913,2.514,1835.036,9.672,NaN
436,21952,175616,100,311.041,321.983,0.961,1758.630,7.827,NaN
437,21952,175616,100,33981.995,842.958,32096,37462,33584.227,33797
438,21952,175616,100,692.106,438.773,0,2102,73.898,918
439,21952,175616,100,770.529,417.213,29,2033,60.312,978
440,21952,175616,100,822.009,399.128,0,2115,1082.285,964
441,21952,175616,100,927.064,331.390,0,2086,1043.000,1008
442,21952,175616,100,33670.403,377.688,30682,34933,33820.434,33767
443,21952,175616,100,809.081,361.344,0,2105,920.938,932
444,21952,175616,100,760.408,403.733,0,2068,904.750,930
445,21952,175616,100,815.377,361.607,0,1911,918.176,943
446,21952,175616,100,33596.852,329.142,32735,34722,33697.453,33708
447,21952,175616,100,271.168,84.429,0,815,292.891,286
448,21952,175616,100,32423.995,477.510,30674,33692,31758.594,32672
449,21952,175616,100,695.177,436.240,0,1936,1058.750,927
450,21952,175616,100,33573.015,337.958,32751,34622,33693.809,33703
451,21952,175616,100,907.557,327.620,0,2287,1054.164,1005
452,21952,175616,100,3897.041,399.892,933,4965,3941.250,4009
453,21952,175616,100,864.731,353.778,0,2164,1056.641,996
454,21952,175616,100,953.088,335.912,13,2246,1050.996,1045
455,21952,175616,100,33708.220,377.917,30680,35070,33835.312,33808
456,21952,175616,100,33048.088,117.698,32747,33739,33091.875,33053
457,21952,175616,100,33482.805,467.480,30684,35144,33680.562,33684
458,21952,175616,100,33644.199,420.979,30681,35002,33820.477,33770
459,21952,175616,100,179.501,86.665,2.334,681.827,132.393,NaN
460,21952,175616,100,794.218,414.280,0,2728,1065.625,972
461,21952,175616,100,32591.960,360.126,30653,33974,32650.789,32687
462,21952,175616,100,34086.971,377.576,32800,36199,34273.785,34165
463,21952,175616,100,33596.652,329.116,32736,34729,33693.574,33708
464,21952,175616,100,809.246,359.698,13,2101,918.344,932
465,21952,175616,100,790.956,405.367,0,1786,1074.391,968
466,21952,175616,100,631.097,440.925,0,1592,62.188,914
467,21952,175616,100,33740.859,320.011,31677,35082,33685.418,33809
468,21952,175616,100,439.284,356.722,10.017,1693.426,16.593,NaN
469,21952,175616,100,33674.072,413.606,30681,34975,33834.406,33792
470,21952,175616,100,33479.520,237.709,32810,34333,33428.719,33476
471,21952,175616,100,865.881,352.991,0,2181,1064.941,996
472,21952,175616,100,33576.503,341.336,32747,34681,33691.336,33706
473,21952,175616,100,1051.613,138.702,881,1986,1070.922,1035
474,21952,175616,100,189.876,138.731,0.378,988.064,4.236,NaN
475,21952,175616,100,779.151,422.987,0,2651,1076.969,972
476,21952,175616,100,631.856,441.763,0,1639,64.023,914
477,21952,175616,100,816.784,361.619,0,1926,917.859,943
478,21952,175616,100,874.984,384.763,0,4371,904.934,956
479,21952,175616,100,150.731,80.705,2.631,423.790,111.211,NaN
480,21952,175616,100,107.381,67.290,0,267,0.000,107
481,21952,175616,100,210.024,160.936,28.765,1266.643,125.474,NaN
482,21952,175616,100,837.750,382.176,0,1870,1051.875,999
483,21952,175616,100,33574.133,337.623,32751,34632,33691.500,33704
484,21952,175616,100,912.912,375.255,51,2027,1069.875,1041
485,21952,175616,100,815.070,396.137,30,1755,70.430,967
486,21952,175616,100,65.098,57.122,2.950,631.348,25.042,NaN
487,21952,175616,100,33491.687,473.503,30679,34692,33688.750,33697
488,21952,175616,100,32622.715,364.439,30650,33523,32670.078,32738
